pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_insol,pl_eqt,rowupdate,pl_pubdate,releasedate
Kepler-1109 b,37.64685190,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-111 b,3.34179949,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-111 c,224.77893550,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1110 b,9.69310837,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1111 b,8.79618433,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1112 b,14.36270451,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1113 b,42.30062820,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1114 b,14.97436238,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1115 b,23.55410120,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1116 b,41.69775820,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1117 b,4.79029482,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1118 b,38.67158430,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1119 b,8.32651854,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-112 b,8.40887814,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-112 c,28.57426920,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1120 b,2.94902911,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1121 b,13.15140223,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1122 b,42.19183310,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1123 b,4.33945690,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1124 b,2.85234826,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1125 b,17.67002910,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1126 b,108.59311300,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1126 c,199.66876000,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1127 b,5.12332040,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1128 b,61.61745280,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1129 b,24.33982020,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1129 c,76.53695310,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-113 b,4.75400072,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-113 c,8.92507952,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1130 b,5.45298742,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1130 c,3.26662733,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1130 d,4.27226421,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1131 b,3.53232429,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1132 b,62.89174930,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1133 b,11.55562042,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1134 b,17.13263125,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1135 b,76.95705600,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1136 b,2.36172447,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1137 b,23.92104080,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1138 b,3.17059731,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1139 b,0.81316636,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-114 b,5.18856368,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-114 c,8.04134778,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-114 d,11.77613232,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1140 b,24.08632177,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1141 b,2.34451259,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1142 b,18.30272350,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1143 b,2.88890444,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1143 c,210.63148600,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1144 b,17.14648756,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1145 b,3.97076603,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1146 b,2.35227391,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1147 b,10.62788695,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1148 b,1.10446249,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1149 b,3.73090026,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-115 b,2.40364070,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-115 c,8.99088621,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1150 b,2.78787417,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1151 b,65.64808920,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1152 b,1.64680168,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1153 b,1.75584356,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1154 b,5.18560081,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1154 c,8.45805119,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1155 b,33.46985710,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1156 b,11.89520436,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1157 b,4.45743267,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1158 b,13.53953595,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1159 b,22.70823750,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-116 b,5.96872405,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-116 c,13.07141889,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1160 b,7.97033985,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1161 b,10.71253475,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1162 b,32.56352490,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1162 c,59.28406400,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1163 b,6.11784972,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1164 b,3.97599629,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1165 b,9.47850818,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1165 c,29.96859170,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1166 b,33.24079850,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1167 b,1.00393170,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1168 b,55.82247750,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1169 b,6.11010439,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-117 b,18.79591276,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-117 c,50.79034648,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1170 b,9.98970266,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1171 b,1.44259231,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1172 b,26.02033290,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1173 b,0.76985490,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1174 b,6.89226333,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1175 b,37.94561380,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1176 b,24.17382440,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1177 b,106.24788200,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1178 b,31.80551280,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1179 b,2.68505445,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-118 b,7.51854537,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-118 c,20.17202467,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1180 b,16.86008050,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1181 b,4.89336495,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1181 c,8.93484887,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1182 b,11.17392077,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1183 b,28.50572170,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1184 b,53.59914590,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1185 b,104.35196240,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1186 b,16.07673148,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1187 b,18.87058705,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1188 b,17.13694080,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1189 b,3.78861833,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-119 b,2.42208419,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-119 c,4.12511935,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1190 b,10.45839865,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1191 b,5.60013327,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1192 b,25.20341280,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1193 b,2.83264725,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1194 b,16.22378479,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1195 b,8.49640437,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1196 b,66.18436460,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1197 b,2.03231886,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1198 b,7.68478504,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1199 b,15.04470980,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-12 b,4.43796293,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-120 b,6.31250853,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-120 c,12.79454740,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1200 b,1.11854781,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1201 b,15.18727049,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1202 b,28.68532120,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1203 b,0.58800105,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1204 b,85.73572020,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1205 b,1.07838971,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1206 b,1.21700038,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1207 b,13.68237980,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1208 b,11.08507658,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1209 b,25.36908680,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-121 b,3.17741460,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-121 c,41.00811170,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1210 b,8.07127043,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1211 b,11.01819178,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1212 b,12.94123564,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1213 b,5.34979100,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1214 b,18.82628770,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1215 b,4.76702759,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1216 b,4.37033233,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1217 b,2.03231907,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1218 b,22.92211810,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1219 b,16.10474503,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-122 b,5.76616557,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-122 c,12.46600444,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-122 d,21.58752788,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-122 e,37.99623690,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-122 f,56.25908810,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1220 b,7.42697378,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1221 b,12.00089667,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1222 b,1.91694087,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1223 b,16.30127270,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1224 b,13.32354078,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1225 b,7.01074295,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1226 b,17.29226310,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1227 b,94.28922300,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1228 b,0.57736934,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1229 b,86.82951900,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-123 b,17.23232894,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-123 c,26.69519440,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1230 b,9.95667035,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1231 b,10.41728722,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1232 b,26.78389350,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1233 b,45.12621600,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1234 b,11.94019101,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1235 b,4.16056658,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1236 b,31.05729470,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1237 b,84.57333460,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1238 b,4.14789051,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1239 b,5.19103699,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-124 b,3.41045981,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-124 c,13.82142084,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-124 d,30.95059270,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1240 b,4.86638504,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1241 b,18.55251620,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1242 b,13.62801048,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1243 b,16.83203175,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1244 b,3.70429015,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1245 b,4.35407371,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1245 c,2.93658795,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1246 b,11.32269749,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1247 b,13.71218522,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1248 b,7.46718958,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1249 b,24.33449390,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-125 b,4.16438451,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-125 c,5.77440326,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1250 b,2.60754516,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1251 b,45.09092010,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1252 b,15.05398860,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1253 b,68.88610170,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1254 b,9.99115241,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1254 c,3.60082855,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1254 d,5.72716067,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1255 b,36.29201700,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1256 b,12.41285180,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1257 b,2.66831274,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1258 b,0.98494167,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1259 b,0.66308536,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-126 b,10.49566303,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-126 c,21.86965714,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-126 d,100.28306750,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1260 b,19.11874250,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1261 b,48.43130030,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1262 b,8.67903700,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1263 b,4.55139880,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1264 b,0.96852768,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1265 b,6.49441464,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1266 b,28.47500060,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1266 c,4.86634094,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1267 b,13.03135830,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1268 b,40.99050020,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1269 b,37.33311650,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-127 b,14.43594590,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-127 c,29.39337161,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-127 d,48.63038050,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1270 b,6.03355539,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1271 b,3.02558494,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1272 b,51.13193460,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1273 b,28.62535020,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1274 b,6.98141327,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1275 b,3.65690909,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1276 b,12.57228970,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1277 b,40.83663070,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1278 b,3.23941775,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1279 b,23.47725530,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-128 b,15.08964150,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-128 c,22.80302520,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1280 b,66.55767280,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1281 b,3.11604194,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1282 b,2.13194505,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1283 b,12.94625670,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1284 b,0.66407414,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1285 b,14.79663060,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1286 b,11.25401871,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1287 b,11.47685263,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1288 b,2.76122370,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1289 b,7.99022379,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-129 b,15.79196594,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-129 c,82.20012390,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1290 b,4.69505576,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1291 b,8.63050092,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1292 b,3.27645723,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1293 b,5.57654782,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1294 b,115.68633920,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1295 b,3.81371423,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1296 b,8.38395796,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1297 b,1.68189051,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1298 b,7.12815163,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1299 b,19.94012110,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-130 b,8.45744892,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-130 c,27.50871575,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-130 d,87.51777870,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1300 b,22.24200320,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1301 b,9.08233411,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1302 b,8.83929462,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1303 b,7.56126152,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1304 b,16.12896790,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1305 b,13.56311570,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1306 b,16.29599160,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1307 b,18.01612270,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1308 b,2.10433534,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1309 b,28.84317510,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-131 b,16.09196369,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-131 c,25.51727440,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1310 b,0.67933675,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1311 b,11.17267230,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1311 c,2.53573284,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1311 d,197.51114840,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1312 b,5.44832108,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1312 c,1.11612717,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1313 b,3.83308764,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1314 b,5.42474933,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1315 b,0.84337998,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1315 c,6.56606941,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1316 b,87.97242270,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1317 b,0.56887472,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1318 b,213.25852600,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1319 b,2.88676240,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-132 b,6.17817366,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-132 c,6.41491277,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-132 d,18.01019956,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-132 e,110.28670310,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1320 b,0.86838635,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1321 b,11.12827427,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1321 c,2.22649620,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1321 d,5.72084599,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1322 b,0.96286417,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1322 c,6.46004728,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1323 b,0.92990617,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1324 b,4.11585514,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1325 b,33.87863900,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1326 b,42.35200390,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1327 b,14.88776650,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1328 b,4.52158614,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1329 b,9.33648141,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-133 b,8.12999858,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-133 c,31.51779463,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1330 b,10.10773789,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1331 b,0.78916088,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1332 b,11.87457664,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1333 b,109.64699480,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1334 b,15.64588656,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1335 b,6.26404774,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1336 b,23.19858520,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1336 c,5.77721259,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1337 b,24.40043780,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1338 b,0.93511586,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1339 b,1.34155642,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-134 b,5.31744016,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-134 c,10.10575764,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1340 b,0.66502594,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1341 b,132.99555030,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1342 b,2.21571296,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1343 b,3.35184041,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1344 b,4.76831033,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1345 b,44.61675100,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1346 b,3.40165617,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1347 b,14.00948631,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1348 b,27.57221440,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1349 b,2.12821621,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-135 b,6.00254829,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-135 c,11.44865823,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1350 b,4.49686066,,,,,,,2018-09-25,2018-08-16,2018-09-25
Kepler-1350 c,1.76678951,,,,,,,2018-09-25,2018-08-16,2018-09-25
